,date,location,count,plate,sample,colour,image,coef,before event,after event,event,date_sample,label,medium,doy,week,d,year
68,2016-06-28,VNX,0.0,1,VNX1,other,,100,True,False,False,"('2016-06-28', 'VNX1')",Other,EasyGel,180,26,2016-06-28,2016
69,2016-07-26,VNX,7.0,1,VNX1,other,,100,False,True,False,"('2016-07-26', 'VNX1')",Other,EasyGel,208,30,2016-07-26,2016
70,2016-08-09,VNX,2.0,1,VNX1,other,,100,False,True,False,"('2016-08-09', 'VNX1')",Other,EasyGel,222,32,2016-08-09,2016
71,2016-08-02,VNX,0.0,1,VNX1,other,,100,False,True,False,"('2016-08-02', 'VNX1')",Other,EasyGel,215,31,2016-08-02,2016
72,2016-07-05,MRD,0.0,1,MRD1,pink,,100,False,False,True,"('2016-07-05', 'MRD1')",Coliform,EasyGel,187,27,2016-07-05,2016
73,2016-07-12,MRD,20.0,1,MRD1,pink,,100,False,False,True,"('2016-07-12', 'MRD1')",Coliform,EasyGel,194,28,2016-07-12,2016
74,2016-07-19,MRD,1.0,1,MRD1,pink,,100,False,True,False,"('2016-07-19', 'MRD1')",Coliform,EasyGel,201,29,2016-07-19,2016
75,2016-06-21,MRD,0.0,1,MRD1,pink,,100,True,False,False,"('2016-06-21', 'MRD1')",Coliform,EasyGel,173,25,2016-06-21,2016
76,2016-06-28,MRD,10.0,1,MRD1,pink,,100,True,False,False,"('2016-06-28', 'MRD1')",Coliform,EasyGel,180,26,2016-06-28,2016
77,2016-07-26,MRD,3.0,1,MRD1,pink,,100,False,True,False,"('2016-07-26', 'MRD1')",Coliform,EasyGel,208,30,2016-07-26,2016
78,2016-08-02,MRD,1.0,1,MRD1,pink,,100,False,True,False,"('2016-08-02', 'MRD1')",Coliform,EasyGel,215,31,2016-08-02,2016
79,2016-08-09,MRD,6.0,1,MRD1,pink,,100,False,True,False,"('2016-08-09', 'MRD1')",Coliform,EasyGel,222,32,2016-08-09,2016
80,2016-07-05,SVT,2.0,1,SVT1,pink,,100,False,False,True,"('2016-07-05', 'SVT1')",Coliform,EasyGel,187,27,2016-07-05,2016
81,2016-07-12,SVT,26.0,1,SVT1,pink,,100,False,False,True,"('2016-07-12', 'SVT1')",Coliform,EasyGel,194,28,2016-07-12,2016
82,2016-07-19,SVT,7.0,1,SVT1,pink,,100,False,True,False,"('2016-07-19', 'SVT1')",Coliform,EasyGel,201,29,2016-07-19,2016
83,2016-06-21,SVT,2.0,1,SVT1,pink,,100,True,False,False,"('2016-06-21', 'SVT1')",Coliform,EasyGel,173,25,2016-06-21,2016
84,2016-06-28,SVT,2.0,1,SVT1,pink,,100,True,False,False,"('2016-06-28', 'SVT1')",Coliform,EasyGel,180,26,2016-06-28,2016
85,2016-07-26,SVT,0.0,1,SVT1,pink,,100,False,True,False,"('2016-07-26', 'SVT1')",Coliform,EasyGel,208,30,2016-07-26,2016
86,2016-08-02,SVT,0.0,1,SVT1,pink,,100,False,True,False,"('2016-08-02', 'SVT1')",Coliform,EasyGel,215,31,2016-08-02,2016
87,2016-08-09,SVT,0.0,1,SVT1,pink,,100,False,True,False,"('2016-08-09', 'SVT1')",Coliform,EasyGel,222,32,2016-08-09,2016
88,2016-07-05,VNX,0.0,1,VNX1,pink,,100,False,False,True,"('2016-07-05', 'VNX1')",Coliform,EasyGel,187,27,2016-07-05,2016
89,2016-07-12,VNX,10.0,1,VNX1,pink,,100,False,False,True,"('2016-07-12', 'VNX1')",Coliform,EasyGel,194,28,2016-07-12,2016
90,2016-07-19,VNX,2.0,1,VNX1,pink,,100,False,True,False,"('2016-07-19', 'VNX1')",Coliform,EasyGel,201,29,2016-07-19,2016
91,2016-06-21,VNX,2.0,1,VNX1,pink,,100,True,False,False,"('2016-06-21', 'VNX1')",Coliform,EasyGel,173,25,2016-06-21,2016
92,2016-06-28,VNX,8.0,1,VNX1,pink,,100,True,False,False,"('2016-06-28', 'VNX1')",Coliform,EasyGel,180,26,2016-06-28,2016
93,2016-07-26,VNX,0.0,1,VNX1,pink,,100,False,True,False,"('2016-07-26', 'VNX1')",Coliform,EasyGel,208,30,2016-07-26,2016
94,2016-08-09,VNX,0.0,1,VNX1,pink,,100,False,True,False,"('2016-08-09', 'VNX1')",Coliform,EasyGel,222,32,2016-08-09,2016
95,2016-08-02,VNX,1.0,1,VNX1,pink,,100,False,True,False,"('2016-08-02', 'VNX1')",Coliform,EasyGel,215,31,2016-08-02,2016
96,2016-07-05,MRD,0.0,1,MRD1,turq,,100,False,False,True,"('2016-07-05', 'MRD1')",Other,EasyGel,187,27,2016-07-05,2016
97,2016-07-12,MRD,0.0,1,MRD1,turq,,100,False,False,True,"('2016-07-12', 'MRD1')",Other,EasyGel,194,28,2016-07-12,2016
98,2016-07-19,MRD,1.0,1,MRD1,turq,,100,False,True,False,"('2016-07-19', 'MRD1')",Other,EasyGel,201,29,2016-07-19,2016
99,2016-06-21,MRD,0.0,1,MRD1,turq,,100,True,False,False,"('2016-06-21', 'MRD1')",Other,EasyGel,173,25,2016-06-21,2016
100,2016-06-28,MRD,1.0,1,MRD1,turq,,100,True,False,False,"('2016-06-28', 'MRD1')",Other,EasyGel,180,26,2016-06-28,2016
101,2016-07-26,MRD,0.0,1,MRD1,turq,,100,False,True,False,"('2016-07-26', 'MRD1')",Other,EasyGel,208,30,2016-07-26,2016
