date,site,plate-number,category,count,week,is-jazz
2022-06-20,vnx,3,coliform,45,4,False
2022-06-20,vnx,4,coliform,35,4,False
2022-06-20,vnx,5,coliform,55,4,False
2022-06-20,svt,1,coliform,15,4,False
2022-06-20,svt,2,coliform,28,4,False
2022-06-20,svt,3,coliform,37,4,False
2022-06-20,svt,4,coliform,25,4,False
2022-06-20,svt,5,coliform,21,4,False
2022-06-20,svt,6,coliform,31,4,False
2022-06-20,mrd,1,coliform,27,4,False
2022-06-20,mrd,2,coliform,35,4,False
2022-06-20,mrd,3,coliform,44,4,False
2022-06-20,mrd,4,coliform,24,4,False
2022-06-20,mrd,5,coliform,49,4,False
2022-06-20,mrd,6,coliform,32,4,False
2022-06-27,vnx,1,coliform,41,4,False
2022-06-27,vnx,2,coliform,39,4,False
2022-06-27,vnx,3,coliform,18,4,False
2022-06-27,vnx,4,coliform,32,4,False
2022-06-27,vnx,5,coliform,31,4,False
2022-06-27,svt,1,coliform,40,4,False
2022-06-27,svt,2,coliform,55,4,False
2022-06-27,svt,3,coliform,58,4,False
2022-06-27,svt,4,coliform,41,4,False
2022-06-27,svt,5,coliform,56,4,False
2022-06-27,svt,6,coliform,37,4,False
2022-06-27,mrd,1,coliform,79,4,False
2022-06-27,mrd,2,coliform,84,4,False
2022-06-27,mrd,3,coliform,64,4,False
2022-06-27,mrd,4,coliform,49,4,False
2022-06-27,mrd,5,coliform,61,4,False
2022-06-27,mrd,6,coliform,65,4,False
2022-07-02,vnx,1,coliform,34,4,True
2022-07-02,vnx,2,coliform,43,4,True
2022-07-02,vnx,3,coliform,49,4,True
2022-07-02,vnx,4,coliform,39,4,True
2022-07-02,vnx,5,coliform,41,4,True
2022-07-02,svt,1,coliform,22,4,True
2022-07-02,svt,2,coliform,23,4,True
2022-07-02,svt,3,coliform,35,4,True
2022-07-02,svt,4,coliform,48,4,True
2022-07-02,svt,5,coliform,54,4,True
2022-07-02,svt,6,coliform,35,4,True
2022-07-02,mrd,1,coliform,10,4,True
2022-07-02,mrd,2,coliform,9,4,True
2022-07-02,mrd,3,coliform,11,4,True
2022-07-02,mrd,4,coliform,12,4,True
2022-07-02,mrd,5,coliform,10,4,True
2022-07-02,mrd,6,coliform,12,4,True
2022-07-04,vnx,1,coliform,13,5,True
2022-07-04,vnx,2,coliform,29,5,True
2022-07-04,vnx,3,coliform,34,5,True
2022-07-04,vnx,4,coliform,23,5,True
2022-07-04,vnx,5,coliform,57,5,True
2022-07-04,svt,1,coliform,134,5,True
2022-07-04,svt,2,coliform,214,5,True
2022-07-04,svt,3,coliform,145,5,True
2022-07-04,svt,4,coliform,165,5,True
2022-07-04,svt,5,coliform,144,5,True
2022-07-04,svt,6,coliform,142,5,True
2022-07-04,mrd,1,coliform,51,5,True
2022-07-04,mrd,2,coliform,36,5,True
