date,location,replican,event,before event,after event,count,coef,per 100,label
2017-07-17,MRD,"('2017-07-17', 'MRD2')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT2')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT2')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX2')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT2')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT2')",False,False,True,1.0,25,25.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT2')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX2')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,MRD,"('2017-07-24', 'MRD2')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX2')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX2')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-31,SVT,"('2017-07-31', 'SVT2')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-31,VNX,"('2017-07-31', 'VNX2')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-31,MRD,"('2017-07-31', 'MRD2')",False,False,True,1.0,25,25.0,Bioindicator
2017-07-03,SVT,"('2017-07-03', 'SVT2')",True,False,False,0.0,200,0.0,Bioindicator
2017-07-10,SVT,"('2017-07-10', 'SVT2')",True,False,False,0.0,100,0.0,Bioindicator
2017-07-10,MRD,"('2017-07-10', 'MRD2')",True,False,False,0.0,100,0.0,Bioindicator
2017-07-10,VNX,"('2017-07-10', 'VNX2')",True,False,False,0.0,100,0.0,Bioindicator
2017-06-12,SVT,"('2017-06-12', 'SVT3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-12,VNX,"('2017-06-12', 'VNX3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-12,MRD,"('2017-06-12', 'MRD3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-19,VNX,"('2017-06-19', 'VNX3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-19,MRD,"('2017-06-19', 'MRD3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-19,SVT,"('2017-06-19', 'SVT3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-26,VNX,"('2017-06-26', 'VNX3')",False,True,False,3.0,25,75.0,Bioindicator
2017-06-26,SVT,"('2017-06-26', 'SVT3')",False,True,False,0.0,25,0.0,Bioindicator
2017-06-26,MRD,"('2017-06-26', 'MRD3')",False,True,False,5.0,25,125.0,Bioindicator
2017-07-03,MRD,"('2017-07-03', 'MRD3')",True,False,False,11.0,25,275.0,Bioindicator
2017-07-03,SVT,"('2017-07-03', 'SVT3')",True,False,False,3.0,25,75.0,Bioindicator
2017-07-03,VNX,"('2017-07-03', 'VNX3')",True,False,False,12.0,25,300.0,Bioindicator
2017-07-10,VNX,"('2017-07-10', 'VNX3')",True,False,False,0.0,100,0.0,Bioindicator
2017-07-10,MRD,"('2017-07-10', 'MRD3')",True,False,False,5.0,100,500.0,Bioindicator
2017-07-10,SVT,"('2017-07-10', 'SVT3')",True,False,False,0.0,100,0.0,Bioindicator
2017-07-17,SVT,"('2017-07-17', 'SVT3')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-17,VNX,"('2017-07-17', 'VNX3')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-17,MRD,"('2017-07-17', 'MRD3')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-17,VNX,"('2017-07-17', 'VNX3')",False,False,True,1.0,25,25.0,Bioindicator
2017-07-17,SVT,"('2017-07-17', 'SVT3')",False,False,True,1.0,25,25.0,Bioindicator
2017-07-17,MRD,"('2017-07-17', 'MRD3')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT3')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT3')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX3')",False,False,True,0.0,100,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT3')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT3')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,SVT,"('2017-07-24', 'SVT3')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX3')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,MRD,"('2017-07-24', 'MRD3')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX3')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-24,VNX,"('2017-07-24', 'VNX3')",False,False,True,0.0,200,0.0,Bioindicator
2017-07-31,SVT,"('2017-07-31', 'SVT3')",False,False,True,1.0,25,25.0,Bioindicator
2017-07-31,VNX,"('2017-07-31', 'VNX3')",False,False,True,0.0,25,0.0,Bioindicator
2017-07-31,MRD,"('2017-07-31', 'MRD3')",False,False,True,2.0,25,50.0,Bioindicator
2017-07-03,SVT,"('2017-07-03', 'SVT3')",True,False,False,0.0,200,0.0,Bioindicator
2017-07-10,SVT,"('2017-07-10', 'SVT3')",True,False,False,0.0,100,0.0,Bioindicator
2017-07-10,MRD,"('2017-07-10', 'MRD3')",True,False,False,0.0,100,0.0,Bioindicator
2017-07-10,VNX,"('2017-07-10', 'VNX3')",True,False,False,0.0,100,0.0,Bioindicator
2017-06-12,SVT,"('2017-06-12', 'SVT1')",False,True,False,0.0,25,0.0,Coliform
